configuration,total,accepted_count,rejection_count,success_count,semantic_failure_count,unsafe_count,no_op_count,false_accept_count,accepted_rate,rejection_rate,success_rate,false_accept_rate,mean_latency_ms,median_latency_ms
schema_only,120,90,30,14,0,76,6,76,0.75,0.25,0.11666666666666667,0.6333333333333333,5785.788888888889,6518.5
schema_semantic,120,18,102,14,0,4,6,4,0.15,0.85,0.11666666666666667,0.03333333333333333,6148.833333333333,6636.0
schema_semantic_uncertainty,120,14,106,14,0,0,6,0,0.11666666666666667,0.8833333333333333,0.11666666666666667,0.0,6152.357142857143,6636.0
full_zero_trust,120,14,106,14,0,0,6,0,0.11666666666666667,0.8833333333333333,0.11666666666666667,0.0,6152.357142857143,6636.0
