model_name,mode,total,accepted_count,rejection_count,success_count,semantic_failure_count,unsafe_count,no_op_count,false_accept_count,success_rate,false_accept_rate
foundry:qwen2.5-coder-0.5b:cpu,baseline_trust_model,30,25,5,4,0,21,5,21,0.13333333333333333,0.7
foundry:qwen2.5-coder-0.5b:cpu,zero_trust_pipeline,30,4,26,4,0,0,0,0,0.13333333333333333,0.0
foundry:qwen2.5-0.5b:cpu,baseline_trust_model,30,14,16,2,0,12,16,12,0.06666666666666667,0.4
foundry:qwen2.5-0.5b:cpu,zero_trust_pipeline,30,2,28,2,0,0,0,0,0.06666666666666667,0.0
foundry:qwen2.5-coder-1.5b:cpu,baseline_trust_model,30,28,2,5,0,23,2,23,0.16666666666666666,0.7666666666666667
foundry:qwen2.5-coder-1.5b:cpu,zero_trust_pipeline,30,5,25,5,0,0,0,0,0.16666666666666666,0.0
foundry:qwen2.5-1.5b:cpu,baseline_trust_model,30,23,7,3,0,20,7,20,0.1,0.6666666666666666
foundry:qwen2.5-1.5b:cpu,zero_trust_pipeline,30,3,27,3,0,0,0,0,0.1,0.0
